[GAME] 642073 [DATE] 2021-03-14 [VENUE] Comerica Park [WEATHER] Sunny 78 7

[TEAM] 116
[PLAY] Lineout [BATTER] Pat Valaika [PITCHER] Spencer Turnbull [FIELDERS] Victor Reyes [MOVEMENTS] Pat Valaika home -> home [out]
[PLAY] Flyout [BATTER] Ramón Urías [PITCHER] Spencer Turnbull [FIELDERS] Robbie Grossman [MOVEMENTS] Ramón Urías home -> home [out]
[PLAY] Strikeout [BATTER] Stevie Wilkerson [PITCHER] Spencer Turnbull [MOVEMENTS] Stevie Wilkerson home -> home [out]
[PLAY] Single [BATTER] Wilson Ramos [PITCHER] Dean Kremer [MOVEMENTS] Wilson Ramos home -> 1
[PLAY] Single [BATTER] Victor Reyes [PITCHER] Dean Kremer [MOVEMENTS] Victor Reyes home -> 1, Wilson Ramos 1 -> 2
[PLAY] Forceout [BATTER] Greg Garcia [PITCHER] Dean Kremer [FIELDERS] Ramón Urías [MOVEMENTS] Victor Reyes 1 -> home [out], Wilson Ramos 2 -> 3, Greg Garcia home -> 1
[PLAY] Groundout [BATTER] JaCoby Jones [PITCHER] Dean Kremer [FIELDERS] Yolmer Sánchez [MOVEMENTS] JaCoby Jones home -> home [out], Wilson Ramos 3 -> 4, Greg Garcia 1 -> 2
[PLAY] Strikeout [BATTER] Robbie Grossman [PITCHER] Dean Kremer [MOVEMENTS] Robbie Grossman home -> home [out]
[PLAY] Strikeout [BATTER] Adley Rutschman [PITCHER] Spencer Turnbull [MOVEMENTS] Adley Rutschman home -> home [out]
[PLAY] Walk [BATTER] Ryan McKenna [PITCHER] Spencer Turnbull [MOVEMENTS] Ryan McKenna home -> 1
[PLAY] Single [BATTER] Austin Wynns [PITCHER] Spencer Turnbull [MOVEMENTS] Ryan McKenna 1 -> 2, Austin Wynns home -> 1, Ryan McKenna 2 -> home [out]
[PLAY] Strikeout [BATTER] Yolmer Sánchez [PITCHER] Spencer Turnbull [MOVEMENTS] Austin Wynns 1 -> 2, Yolmer Sánchez home -> home [out]
[PLAY] Walk [BATTER] Jeimer Candelario [PITCHER] Dean Kremer [MOVEMENTS] Jeimer Candelario home -> 1
[PLAY] Strikeout [BATTER] Miguel Cabrera [PITCHER] Dean Kremer [MOVEMENTS] Miguel Cabrera home -> home [out]
[PLAY] Pop Out [BATTER] Jonathan Schoop [PITCHER] Dean Kremer [FIELDERS] Yolmer Sánchez [MOVEMENTS] Jonathan Schoop home -> home [out]
[PLAY] Strikeout [BATTER] Niko Goodrum [PITCHER] Dean Kremer [MOVEMENTS] Niko Goodrum home -> home [out]
[PLAY] Lineout [BATTER] Anthony Santander [PITCHER] Spencer Turnbull [FIELDERS] Niko Goodrum [MOVEMENTS] Anthony Santander home -> home [out]
[PLAY] Double [BATTER] Ryan Mountcastle [PITCHER] Spencer Turnbull [MOVEMENTS] Ryan Mountcastle home -> 2
[PLAY] Groundout [BATTER] Pat Valaika [PITCHER] Spencer Turnbull [FIELDERS] Jeimer Candelario [MOVEMENTS] Pat Valaika home -> home [out]
[PLAY] Double [BATTER] Ramón Urías [PITCHER] Spencer Turnbull [MOVEMENTS] Ramón Urías home -> 2, Ryan Mountcastle 2 -> 3, Ryan Mountcastle 3 -> 4
[PLAY] Walk [BATTER] Stevie Wilkerson [PITCHER] Spencer Turnbull [MOVEMENTS] Stevie Wilkerson home -> 1
[PLAY] Strikeout [BATTER] Adley Rutschman [PITCHER] Spencer Turnbull [MOVEMENTS] Adley Rutschman home -> home [out]
[PLAY] Groundout [BATTER] Wilson Ramos [PITCHER] Bruce Zimmermann [FIELDERS] Pat Valaika [MOVEMENTS] Wilson Ramos home -> home [out]
[PLAY] Strikeout [BATTER] Victor Reyes [PITCHER] Bruce Zimmermann [MOVEMENTS] Victor Reyes home -> home [out]
[PLAY] Bunt Pop Out [BATTER] Greg Garcia [PITCHER] Bruce Zimmermann [FIELDERS] Austin Wynns [MOVEMENTS] Greg Garcia home -> home [out]
[PLAY] Bunt Groundout [BATTER] Ryan McKenna [PITCHER] Daniel Norris [FIELDERS] Daniel Norris [MOVEMENTS] Ryan McKenna home -> home [out]
[PLAY] Groundout [BATTER] Austin Wynns [PITCHER] Daniel Norris [FIELDERS] Jeimer Candelario [MOVEMENTS] Austin Wynns home -> home [out]
[PLAY] Flyout [BATTER] Yolmer Sánchez [PITCHER] Daniel Norris [FIELDERS] Victor Reyes [MOVEMENTS] Yolmer Sánchez home -> home [out]
[PLAY] Strikeout [BATTER] JaCoby Jones [PITCHER] Bruce Zimmermann [MOVEMENTS] JaCoby Jones home -> home [out]
[PLAY] Lineout [BATTER] Robbie Grossman [PITCHER] Bruce Zimmermann [FIELDERS] Ryan Mountcastle [MOVEMENTS] Robbie Grossman home -> home [out]
[PLAY] Groundout [BATTER] Jeimer Candelario [PITCHER] Bruce Zimmermann [FIELDERS] Pat Valaika [MOVEMENTS] Jeimer Candelario home -> home [out]
[PLAY] Flyout [BATTER] Anthony Santander [PITCHER] Daniel Norris [FIELDERS] Riley Greene [MOVEMENTS] Anthony Santander home -> home [out]
[PLAY] Double [BATTER] Ryan Mountcastle [PITCHER] Daniel Norris [MOVEMENTS] Ryan Mountcastle home -> 2
[PLAY] Flyout [BATTER] Pat Valaika [PITCHER] Daniel Norris [FIELDERS] Riley Greene [MOVEMENTS] Pat Valaika home -> home [out]
[PLAY] Strikeout [BATTER] Ramón Urías [PITCHER] Daniel Norris [MOVEMENTS] Chris Shaw 2 -> 3, Ramón Urías home -> home [out]
[PLAY] Lineout [BATTER] Miguel Cabrera [PITCHER] Bruce Zimmermann [FIELDERS] Ryan McKenna [MOVEMENTS] Miguel Cabrera home -> home [out]
[PLAY] Strikeout [BATTER] Jonathan Schoop [PITCHER] Bruce Zimmermann [MOVEMENTS] Jonathan Schoop home -> home [out]
[PLAY] Groundout [BATTER] Niko Goodrum [PITCHER] Bruce Zimmermann [FIELDERS] Ramón Urías [MOVEMENTS] Niko Goodrum home -> home [out]
[PLAY] Groundout [BATTER] Stevie Wilkerson [PITCHER] Daniel Norris [FIELDERS] Greg Garcia [MOVEMENTS] Stevie Wilkerson home -> home [out]
[PLAY] Lineout [BATTER] Adley Rutschman [PITCHER] Daniel Norris [FIELDERS] Harold Castro [MOVEMENTS] Adley Rutschman home -> home [out]
[PLAY] Lineout [BATTER] Ryan McKenna [PITCHER] Daniel Norris [FIELDERS] Akil Baddoo [MOVEMENTS] Ryan McKenna home -> home [out]
[PLAY] Walk [BATTER] Wilson Ramos [PITCHER] Bruce Zimmermann [MOVEMENTS] Wilson Ramos home -> 1
