[GAME] 605126 [DATE] 2020-03-11 [VENUE] Marlins Park [WEATHER] Sunny 75 9

[TEAM] 146
[CENTER_FIELD] Canaan Smith-Njigba
[PITCHER] Janson Junk
[PITCHER] Shawn Semple
[PITCHER] Kyle Zurak
[PITCHER] JP Sears
[CATCHER] Josh Breaux
[OUTFIELD] Everson Pereira
[SECOND_BASE] Ezequiel Duran
[CATCHER] Anthony Seigler
[CATCHER] Antonio Cabello
[CENTER_FIELD] Ryder Green
[PITCHER] Daniel Bies
[PITCHER] Frank German
[SECOND_BASE] Matt Pita
[OUTFIELD] Kevin Alcántara
[SECOND_BASE] Anthony Volpe
[SHORTSTOP] Maikol Escotto

[GAME_START]
[PLAY] Groundout [BATTER] Mike Tauchman [PITCHER] Sandy Alcantara [FIELDERS] Isan Díaz [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Strikeout [BATTER] Gio Urshela [PITCHER] Sandy Alcantara [MOVEMENTS] Gio Urshela home -> home [out]
[PLAY] Strikeout [BATTER] Mike Ford [PITCHER] Sandy Alcantara [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Flyout [BATTER] Lewis Brinson [PITCHER] Deivi García [FIELDERS] Mike Tauchman [MOVEMENTS] Lewis Brinson home -> home [out]
[PLAY] Strikeout [BATTER] Francisco Cervelli [PITCHER] Deivi García [MOVEMENTS] Francisco Cervelli home -> home [out]
[PLAY] Groundout [BATTER] Isan Díaz [PITCHER] Deivi García [FIELDERS] Mike Ford [MOVEMENTS] Isan Díaz home -> home [out]
[PLAY] Groundout [BATTER] Miguel Andujar [PITCHER] Sandy Alcantara [FIELDERS] Eddy Alvarez [MOVEMENTS] Miguel Andujar home -> home [out]
[PLAY] Flyout [BATTER] Clint Frazier [PITCHER] Sandy Alcantara [FIELDERS] Harold Ramírez [MOVEMENTS] Clint Frazier home -> home [out]
[PLAY] Pop Out [BATTER] Kyle Higashioka [PITCHER] Sandy Alcantara [FIELDERS] Sean Rodríguez [MOVEMENTS] Kyle Higashioka home -> home [out]
[PLAY] Double [BATTER] Garrett Cooper [PITCHER] Deivi García [MOVEMENTS] Garrett Cooper home -> 2
[PLAY] Fielders Choice [BATTER] Matt Kemp [PITCHER] Deivi García [FIELDERS] Gio Urshela [MOVEMENTS] Matt Kemp home -> 1
[PLAY] Sac Bunt [BATTER] Eddy Alvarez [PITCHER] Deivi García [FIELDERS] Deivi García [RUNNER] Garrett Cooper [MOVEMENTS] Eddy Alvarez home -> home [out], Garrett Cooper 2 -> 3, Matt Kemp 1 -> 2
[PLAY] Pop Out [BATTER] Harold Ramírez [PITCHER] Deivi García [FIELDERS] Thairo Estrada [MOVEMENTS] Harold Ramírez home -> home [out]
[PLAY] Single [BATTER] Sean Rodríguez [PITCHER] Deivi García [MOVEMENTS] Sean Rodríguez home -> 1, Matt Kemp 2 -> 4, Garrett Cooper 3 -> 4
[PLAY] Strikeout [BATTER] Sandy Alcantara [PITCHER] Deivi García [MOVEMENTS] Sandy Alcantara home -> home [out]
[PLAY] Walk [BATTER] Chris Iannetta [PITCHER] Sandy Alcantara [MOVEMENTS] Chris Iannetta home -> 1
[PLAY] Lineout [BATTER] Tyler Wade [PITCHER] Sandy Alcantara [FIELDERS] Matt Kemp [MOVEMENTS] Tyler Wade home -> home [out]
